ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
70801,Dead Dead Demons Dededede Destruction,"Award Winning, Drama, School, Sci-Fi, Seinen",,8.2,448,200,finished,Inio Asano
15805,Tasogare Otome x Amnesia,"Horror, Mystery, Romance, School, Shounen, Supernatural",,8.2,449,364,finished, Maybe
46010,xxxHOLiC: Rei,"Drama, Mystery, Seinen, Supernatural",,8.19,464,1472,currently_publishing, CLAMP
92,Bishoujo Senshi Sailor Moon,"Award Winning, Drama, Fantasy, Mahou Shoujo, Romance, Shoujo",,8.19,455,305,finished,Naoko Takeuchi
373,Meteor Methuselah,"Action, Adventure, Drama, Fantasy, Romance, Shoujo",,8.19,456,978,finished,Kaori Ozaki
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",,8.19,457,1533,finished,Nobuyuki Fukumoto
2924,Historie,"Action, Adventure, Award Winning, Historical, Seinen",,8.19,458,733,currently_publishing,Hitoshi Iwaaki
4453,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,"Adventure, Fantasy",,8.19,459,2820,finished,Satoko Kiyuzuki
115746,Shinai naru Boku e Satsui wo Komete,"Drama, Mystery, Psychological, Seinen, Suspense",,8.19,456,377,finished,"Hajime Inoryuu, Shouta Itou"
58563,Innocent,"Drama, Historical, Seinen",,8.19,464,266,finished,Shinichi Sakamoto
140295,Tsukuritai Onna to Tabetai Onna,"Girls Love, Josei, Slice of Life",,8.18,474,3413,currently_publishing,Sakaomi Yuzaki
104491,Bokura no Shokutaku,"Boys Love, Childcare, Slice of Life",,8.18,468,1421,finished,Ori Mita
115122,Kimi ga Shinu made Koi wo Shitai,"Fantasy, Girls Love, School",,8.18,469,1589,currently_publishing,Nachi Aono
27231,Hirunaka no Ryuusei,"Love Polygon, Romance, School, Shoujo",,8.18,470,165,finished,Mika Yamamori
53,Yuu☆Yuu☆Hakusho,"Action, Award Winning, Comedy, Drama, Shounen, Supernatural",,8.18,472,224,finished,Yoshihiro Togashi
1014,H2,"Comedy, Drama, Romance, School, Shounen, Sports, Team Sports",,8.18,473,1786,finished,Mitsuru Adachi
1982,Koori no Mamono no Monogatari,"Boys Love, Fantasy, Shoujo, Supernatural",,8.18,471,4837,finished,Shiho Sugiura
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Organized Crime, Shounen",,8.18,475,124,finished,Hirohiko Araki
994,Ookiku Furikabutte,"Award Winning, Comedy, Seinen, Sports, Team Sports",,8.17,477,2123,currently_publishing,Asa Higuchi
9738,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,"Drama, Horror, Mystery, Psychological",,8.17,478,2015,finished,"Karin Suzuragi,  Ryukishi07"
152024,"Bungou Stray Dogs: Dazai, Chuuya, Juugosai","Action, Shounen, Supernatural",,8.17,477,8383,finished,"Kafka Asagiri, Shiwasu Hoshikawa"
67401,Fukigen na Mononokean,"Comedy, Supernatural",,8.17,482,1593,finished,Kiri Wazawa
80375,Otouto no Otto,"Award Winning, Slice of Life",,8.17,483,1555,finished,Gengorou Tagame
30315,Last Game,"Comedy, Romance, Shoujo",,8.17,484,142,finished,Shinobu Amano
112694,Fushigi Neko no Kyuu-chan,"Comedy, Pets, Slice of Life",,8.17,486,2667,finished,Sasami Nitori
121480,Yofukashi no Uta,"Award Winning, Romance, Shounen, Supernatural, Vampire",,8.17,479,145,finished, Kotoyama
126146,[Oshi no Ko],"Drama, Reincarnation, Seinen, Showbiz, Supernatural",,8.17,488,42,finished,"Aka Akasaka, Mengo Yokoyari"
131334,Sakamoto Days,"Action, Comedy, Shounen",,8.17,489,96,currently_publishing,Yuuto Suzuki
112589,Tonikaku Kawaii,"Comedy, Romance, Shounen",,8.16,490,184,currently_publishing,Kenjirou Hata
113163,Bungou Stray Dogs: Dead Apple,"Action, Detective, Mystery, Supernatural",,8.16,491,3056,finished, Ganjii
125052,Yamada-kun to Lv999 no Koi wo Suru,"Romance, Video Game",,8.16,492,298,currently_publishing, Mashiro
436,Uzumaki,"Drama, Horror, Seinen, Supernatural",,8.16,502,31,finished,Junji Itou
10865,Touhou Shinigami: Meteor Methuselah Gaiden,"Action, Drama, Fantasy, Shoujo",,8.16,497,3985,finished,Kaori Ozaki
102703,Doukyuusei: Gold Ring & Silver Ring,Boys Love,,8.16,498,2534,finished,Asumiko Nakamura
58007,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Shoujo",,8.16,491,324,finished,"Hikaru Suruga, Gan Sunaaku"
80091,Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,"Comedy, Love Polygon, Romance, School, Seinen",,8.16,500,2108,finished,"Wataru Watari, Naomichi Io"
45947,Nukozuke!,"Comedy, Pets, Shoujo, Slice of Life",,8.16,503,1979,currently_publishing,Iro Yugi
35733,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Shounen",,8.15,505,1257,finished,Mitsu Izumi
661,Sayonara Zetsubou Sensei,"Award Winning, Comedy, Gag Humor, Parody, School, Shounen",,8.15,507,580,finished,Kouji Kumeta
688,Maison Ikkoku,"Adult Cast, Comedy, Drama, Romance, Seinen",,8.15,505,1033,finished,Rumiko Takahashi
705,Shingetsutan Tsukihime,"Action, Horror, Romance, Supernatural, Vampire",,8.15,506,428,finished," Type-Moon, Kinoko Nasu, Shonen Sasaki"
929,Fushigi Yuugi: Genbu Kaiden,"Adventure, Drama, Fantasy, Historical, Isekai, Magical Sex Shift, Romance, Shoujo",,8.15,507,1651,finished,Yuu Watase
1110,Shiawase Kissa 3-choume,"Comedy, Romance, Shoujo, Slice of Life",,8.15,511,1041,finished,Kou Matsuzuki
3042,Soredemo Machi wa Mawatteiru,"Award Winning, Seinen, Slice of Life",,8.15,509,2025,finished,Masakazu Ishiguro
8144,Sora no Otoshimono,"Comedy, Drama, Ecchi, Romance, School, Sci-Fi, Shounen",,8.15,510,406,finished,Suu Minazuki
8652,Zankoku na Kami ga Shihai suru,"Award Winning, Boys Love, Drama, Psychological, Shoujo",,8.15,514,2062,finished,Moto Hagio
111229,Mystery to Iu nakare,"Award Winning, Josei, Mystery",,8.15,519,1932,currently_publishing,Yumi Tamura
117840,Ase to Sekken,"Comedy, Romance, Seinen, Workplace",,8.15,517,403,finished,Kintetsu Yamada
