ID,Nome,Generi/Temi,Start Date,End Date,Mean Score,Rank,Popularity,Volumi,Capitoli,Stato,Tipo Media,Autori,Serializzazioni
140333,Ano Ko no Kodomo,"Award Winning, Drama, School, Shoujo",2021-05-13,2024-10-11,7.82,1273,5977,10,41,finished,manga,Mamoru Aoi,
148554,Rinko-chan to Himosugara,Drama,2021-04-02,2023-06-16,7.82,1277,6065,4,26,finished,manga,Hachi Nanase,
155312,Futarijime Romantic,"Comedy, Romance, School, Shoujo",2023-01-24,2024-02-24,7.82,1281,4996,3,12,finished,manga,Chihiro Kanisawa,
110766,Urasekai Picnic,"Action, Fantasy, Mystery, Shounen",2018-02-10,,7.82,1282,2915,0,0,currently_publishing,manga,"Eita Mizuno, Iori Miyazawa",
114006,Nora to Zassou,"Drama, Seinen",2018-04-21,2020-08-21,7.82,1284,3441,4,26,finished,manga,Keigo Shinzou,
117954,Kotarou wa Hitorigurashi,"Childcare, Comedy, Drama, Seinen, Slice of Life",2015-03-13,2023-06-09,7.82,1285,7972,10,177,finished,manga,Mami Tsumura,
118233,Karasugaoka Don't Be Shy!!,"Boys Love, Comedy",2018-06-01,2020-04-01,7.82,1286,2748,2,12,finished,manga,Aki Yuukura,
118858,Dai Dark,"Comedy, Horror, Sci-Fi, Shounen",2019-03-12,,7.82,1287,437,0,0,currently_publishing,manga,Q Hayashida,
120716,"Ichido dake demo, Koukai Shitemasu.","Comedy, Girls Love",2019-06-27,2021-02-26,7.82,1288,1195,3,21,finished,manga,Miyako Miyahara,
122147,Rebuild World,"Action, Sci-Fi, Seinen",2019-07-26,,7.82,1289,1180,0,0,currently_publishing,manga,"Kirihito Ayamura,  Nahuse",
93695,Ganbare! Nakamura-kun!!,"Boys Love, School",2014-12-27,2016-08-27,7.82,1291,586,1,11,finished,manga, Syundei,
96194,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Hon ga Nai nara Tsukureba Ii!,"Fantasy, Isekai, Reincarnation",2015-10-30,2018-07-02,7.82,1292,1465,7,47,finished,manga," Suzuka, Miya Kazuki",
22519,To LOVE-Ru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen, Supernatural",2010-10-04,2017-03-04,7.82,1296,346,18,100,finished,manga,"Kentarou Yabuki, Saki Hasemi",
28107,Sakurasou no Pet na Kanojo,"Comedy, Ecchi, Romance, Slice of Life",2011-02-28,2015-05-30,7.82,1297,1696,8,49,finished,manga,"Houki Kusano, Hajime Kamoshida",
41733,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy, Isekai, Military",2011-07-30,,7.82,1277,663,0,0,currently_publishing,manga,"Satoru Sao, Takumi Yanai",
47363,Kamisama no Iutoori 2,"Action, Gore, High Stakes Game, Psychological, Shounen, Supernatural, Survival, Suspense",2013-01-16,2016-12-28,7.82,1300,886,21,186,finished,manga,"Muneyuki Kaneshiro, Akeji Fujimura",
3993,IS: Otoko demo Onna demo Nai Sei,"Award Winning, Drama, Josei, Romance",2003-07-08,2009-07-25,7.82,1302,3292,17,82,finished,manga,Chiyo Rokuhana,
5157,Baki: New Grappler Baki,"Action, Combat Sports, Gore, Martial Arts, Shounen",1999,2005,7.82,1303,724,31,276,finished,manga,Keisuke Itagaki,
10309,Junjou Mistake,"Boys Love, Drama, Romance",2008-07-25,2008-12-26,7.82,1292,3939,1,6,finished,manga,Shungiku Nakamura,
10386,Yume-iro Pâtissière,"Award Winning, Gourmet, Romance, School, Shoujo",2008-09-03,2013-08-22,7.82,1305,3193,12,59,finished,manga,Natsumi Matsumoto,
12269,Hammer Session!,"Action, Comedy, Ecchi, School, Shounen",2006-11-15,2008-12-10,7.82,1294,3015,11,96,finished,manga,"Namoshiro Tanahashi, Yamato Koganemaru, Hiroyuki Yatsu",
14154,Arakawa Under the Bridge,"Comedy, Romance, Seinen",2004-12-03,2015-07-03,7.82,1307,1090,15,410,finished,manga,Hikaru Nakamura,
14975,Darker than Black: Shikkoku no Hana,"Action, Drama, Sci-Fi, Seinen, Super Power, Supernatural",2009-05-15,2011-01-21,7.82,1308,1496,4,33,finished,manga,Yuji Iwahara,
16815,Itsuwaribito◆Utsuho◆,"Action, Shounen",2009-01-28,2013-09-03,7.82,1309,3267,23,224,finished,manga,Yuuki Iinuma,
766,Akuma de Sourou,"Comedy, Drama, Romance, School, Shoujo",1998-01-01,2002-12,7.81,1310,1522,11,42,finished,manga,Mitsuba Takanashi,
1261,Higurashi no Naku Koro ni: Himatsubushi-hen,"Drama, Horror, Mystery, Psychological, Shounen",2006-09-22,2007-01-22,7.81,1311,1492,2,9,finished,manga,"Yoshiki Tonogai,  Ryukishi07",
1893,Yumekui Kenbun,"Drama, Fantasy, Horror, Mythology, Shoujo, Supernatural",2001,2007,7.81,1312,4601,9,66,finished,manga,Shin Mashiba,
3636,Rasetsu no Hana,"Mystery, Shoujo, Supernatural",2005,2010,7.81,1313,5336,9,36,finished,manga,Chika Shiomi,
4018,Top Secret,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Shoujo",1999-02-16,2012-06-28,7.81,1314,5121,12,22,finished,manga,Reiko Shimizu,
4998,Hime-chan no Ribbon,"Fantasy, School, Shoujo",1990-07-03,1993-12-01,7.81,1337,10484,10,45,finished,manga,Megumi Mizusawa,
11438,Kimi ni shika Kikoenai,"Drama, Shounen, Supernatural",2007-02-26,2007-05-26,7.81,1317,1686,1,5,finished,manga," Otsuichi, Hiro Kiyohara",
11767,Suki tte Ii na yo.,"Romance, School, Shoujo",2008-02-23,2017-07-24,7.81,1318,202,18,73,finished,manga,Kanae Hazuki,
111323,MagMell Shinkai Suizokukan,"Seinen, Slice of Life",2017-04-08,,7.81,1319,6177,0,0,currently_publishing,manga,Kiyomi Sugishita,
120403,School Zone,"Comedy, Girls Love, School",2018-04-02,2022-08-22,7.81,1320,2585,5,107,discontinued,manga, Ningiyau,
121043,Touge Oni,"Adventure, Fantasy, Historical, Mythology, Seinen",2018-04-13,,7.81,1321,3384,0,0,currently_publishing,manga,Kenji Tsurubuchi,
128131,Kimi ni Todoke Bangai-hen: Unmei no Hito,"Romance, Shoujo",2018-04-13,2022-05-13,7.81,1324,5322,3,13,finished,manga,Karuho Shiina,
131924,Tsue to Tsurugi no Wistoria,"Action, Fantasy, School, Shounen",2020-12-09,,7.81,1325,1319,0,0,currently_publishing,manga,"Fujino Omori, Toshi Aoi",
75101,Sword Art Online: Mother's Rosario,"Action, Adventure, Fantasy, Video Game",2014-06-10,2016-04-09,7.81,1328,3972,3,14,finished,manga,"Reki Kawahara, Tsubasa Hazuki",
