ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
35243,Haikyuu!!,"Award Winning, School, Shounen, Sports, Team Sports",8.86,27,33,finished,Haruichi Furudate
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",8.85,28,225,currently_publishing,Chica Umino
126287,Sousou no Frieren,"Adventure, Award Winning, Drama, Fantasy, Shounen",8.85,29,81,currently_publishing,"Kanehito Yamada, Tsukasa Abe"
56805,Koe no Katachi,"Award Winning, Drama, Shounen",8.85,30,26,finished,Yoshitoki Ooima
21525,Akatsuki no Yona,"Adventure, Fantasy, Romance, Shoujo",8.82,33,87,currently_publishing,Mizuho Kusanagi
144267,Kaoru Hana wa Rin to Saku,"Drama, Romance, School",8.82,36,144,currently_publishing,Saka Mikami
28,Nana,"Adult Cast, Award Winning, Drama, Love Polygon, Music, Romance, Shoujo",8.81,38,77,on_hiatus,Ai Yazawa
651,Kaze no Tani no Nausicaä,"Action, Adventure, Award Winning, Fantasy",8.81,39,268,finished,Hayao Miyazaki
7375,Kokou no Hito,"Award Winning, Drama, Psychological, Seinen, Sports",8.81,40,103,finished,Shinichi Sakamoto
85781,Dungeon Meshi,"Award Winning, Comedy, Fantasy, Gourmet, Seinen",8.77,45,155,finished,Ryouko Kui
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","Drama, Shounen",8.77,47,57,finished,"Shouichi Taguchi, Sugaru Miaki"
26,Hunter x Hunter,"Action, Adventure, Fantasy, Shounen",8.76,49,22,currently_publishing,Yoshihiro Togashi
7,Hajime no Ippo,"Award Winning, Combat Sports, Shounen, Sports",8.74,50,163,currently_publishing,George Morikawa
14483,Uchuu Kyoudai,"Adult Cast, Award Winning, Drama, Sci-Fi, Seinen, Space, Workplace",8.74,51,467,currently_publishing,Chuuya Koyama
91941,Made in Abyss,"Adventure, Drama, Fantasy, Sci-Fi",8.73,54,62,currently_publishing,Akihito Tsukushi
132678,Veil,"Historical, Romance, Slice of Life",8.73,55,967,currently_publishing,Ikumi Fukuda
72467,Shoujo Shuumatsu Ryokou,"Adventure, Award Winning, Iyashikei, Slice of Life",8.72,56,208,finished, Tsukumizu
44347,One Punch-Man,"Action, Comedy, Parody, Seinen, Super Power",8.71,57,7,currently_publishing,"Yusuke Murata,  ONE"
45143,Kono Oto Tomare!,"Drama, Music, School, Shounen",8.7,58,368,currently_publishing,Amyuu Sakura
418,Mushishi,"Adult Cast, Award Winning, Fantasy, Historical, Iyashikei, Mystery, Seinen, Supernatural",8.7,60,178,finished,Yuki Urushibara
116778,Chainsaw Man,"Action, Award Winning, Fantasy, Gore, Shounen, Urban Fantasy",8.69,62,3,currently_publishing,Tatsuki Fujimoto
21,Death Note,"Psychological, Shounen, Supernatural, Suspense",8.69,63,14,finished,"Takeshi Obata, Tsugumi Ohba"
145,Beck,"Award Winning, Drama, Music, Romance, Shounen",8.69,64,189,finished,Harold Sakuishi
1133,Dorohedoro,"Action, Comedy, Fantasy, Gore, Horror, Seinen",8.68,65,46,finished,Q Hayashida
129621,Medalist,"Award Winning, Drama, Seinen, Sports",8.68,67,1061,currently_publishing, Tsurumaikada
664,Akira,"Action, Award Winning, Gore, Sci-Fi, Seinen",8.66,68,94,finished,Katsuhiro Otomo
1859,Natsume Yuujinchou,"Drama, Iyashikei, Shoujo, Supernatural",8.66,69,385,currently_publishing,Yuki Midorikawa
100035,Tongari Boushi no Atelier,"Fantasy, Seinen",8.66,70,129,currently_publishing,Kamome Shirahama
107562,Kusuriya no Hitorigoto,"Drama, Historical, Medical, Mystery, Seinen",8.66,71,206,currently_publishing,"Natsu Hyuuga,  Nekokurage"
4,Yokohama Kaidashi Kikou,"Award Winning, Iyashikei, Sci-Fi, Seinen, Slice of Life",8.65,72,205,finished,Hitoshi Ashinano
123006,Bungou Stray Dogs: Beast,"Action, Detective, Mystery, Shounen, Supernatural",8.65,75,1030,finished,"Kafka Asagiri, Shiwasu Hoshikawa"
128365,Kimi to Tsuzuru Utakata,"Girls Love, School",8.65,76,789,finished, Yuama
88660,Yagate Kimi ni Naru,"Drama, Girls Love, School",8.65,77,125,finished,Nio Nakatani
44,Gintama,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",8.64,78,153,finished,Hideaki Sorachi
145863,Sayonara Eri,"Drama, Shounen",8.64,81,90,finished,Tatsuki Fujimoto
904,Kozure Ookami,"Action, Historical, Samurai, Seinen",8.63,82,344,finished,"Kazuo Koike, Goseki Kojima"
78523,ReLIFE,"Comedy, Drama, Romance, School, Slice of Life",8.63,83,67,finished,Sou Yayoi
85968,Golden Kamuy,"Action, Adventure, Award Winning, Historical, Seinen",8.63,84,146,finished,Satoru Noda
23900,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,"Drama, Mystery, Psychological, Shounen, Supernatural, Suspense",8.63,85,1275,finished,"Eita Mizuno,  Ryukishi07"
745,Pluto,"Action, Award Winning, Detective, Mystery, Psychological, Sci-Fi, Seinen, Suspense",8.62,89,101,finished,"Naoki Urasawa, Osamu Tezuka"
102256,Ao Ashi,"Award Winning, Seinen, Sports, Team Sports",8.62,90,496,currently_publishing,"Yuugo Kobayashi, Naohiko Ueno"
60783,Mob Psycho 100,"Action, Award Winning, Comedy, Super Power, Supernatural",8.61,94,110,finished, ONE
107931,Blue Period,"Award Winning, Drama, School, Seinen, Visual Arts",8.61,96,97,currently_publishing,Tsubasa Yamaguchi
81,Aria,"Iyashikei, Sci-Fi, Shounen, Slice of Life",8.61,97,443,finished,Kozue Amano
9982,Usogui,"Action, High Stakes Game, Psychological, Seinen, Strategy Game",8.61,99,378,finished,Toshio Sako
756,Banana Fish,"Action, Adventure, Delinquents, Drama, Organized Crime, Psychological, Shoujo, Suspense",8.6,100,275,finished,Akimi Yoshida
118289,Skip to Loafer,"Award Winning, Drama, School, Seinen",8.6,101,392,currently_publishing,Misaki Takamatsu
114043,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",Romance,8.59,104,595,finished,Miku Morinaga
37707,Shigatsu wa Kimi no Uso,"Award Winning, Drama, Music, Romance, School, Shounen",8.59,106,194,finished,Naoshi Arakawa
61579,Tobaku Datenroku Kaiji: One Poker-hen,"Adult Cast, Drama, High Stakes Game, Psychological, Seinen, Strategy Game",8.58,108,1990,finished,Nobuyuki Fukumoto
698,Shinseiki Evangelion,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi, Seinen, Shounen, Suspense",8.58,109,115,finished,Yoshiyuki Sadamoto
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Shounen, Supernatural",8.57,111,135,finished,Hirohiko Araki
13245,Chihayafuru,"Award Winning, Drama, Josei, Love Polygon, Strategy Game",8.57,112,341,finished,Yuki Suetsugu
3031,Pandora Hearts,"Adventure, Fantasy, Mystery, Shounen",8.56,115,54,finished,Jun Mochizuki
11514,Otoyomegatari,"Award Winning, Historical, Romance, Seinen",8.56,116,220,currently_publishing,Kaoru Mori
610,Skip Beat!,"Comedy, Drama, Love Polygon, Romance, Shoujo, Showbiz",8.55,117,169,currently_publishing,Yoshiki Nakamura
11054,Billy Bat,"Detective, Drama, Historical, Mystery, Psychological, Seinen, Supernatural",8.55,119,214,finished,"Naoki Urasawa, Takashi Nagasaki"
23390,Shingeki no Kyojin,"Action, Award Winning, Drama, Gore, Military, Shounen, Survival, Suspense",8.55,121,2,finished,Hajime Isayama
87844,The Fable,"Adult Cast, Award Winning, Comedy, Organized Crime, Seinen, Suspense",8.55,123,302,finished,Katsuhisa Minami
92559,Diamond no Ace Act II,"School, Shounen, Sports, Team Sports",8.55,124,1090,finished,Yuuji Terajima
105084,Jibaku Shounen Hanako-kun,"School, Shounen, Supernatural",8.55,124,111,currently_publishing,Iro Aida
33327,Tokyo Ghoul,"Action, Fantasy, Gore, Horror, Psychological, Seinen, Urban Fantasy",8.54,125,6,finished,Sui Ishida
22,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Drama, Historical, Samurai, Shounen",8.54,126,149,finished,Nobuhiro Watsuki
1325,Hi no Tori (1967),"Drama, Fantasy, Historical, Psychological, Romance, Sci-Fi, Shounen, Space, Supernatural",8.54,127,791,finished,Osamu Tezuka
8157,Kamisama Hajimemashita,"Comedy, Fantasy, Mythology, Romance, Shoujo, Supernatural",8.54,128,173,finished,Julietta Suzuki
101396,Sasaki to Miyano,"Boys Love, Otaku Culture, School",8.53,130,472,currently_publishing,Shou Harusono
102,Fruits Basket,"Award Winning, Drama, Love Polygon, Romance, School, Shoujo, Supernatural",8.53,132,82,finished,Natsuki Takaya
5744,Ping Pong,"Drama, Seinen, Sports",8.53,135,830,finished,Taiyou Matsumoto
11327,One Outs,"Adult Cast, Psychological, Seinen, Sports, Team Sports",8.53,136,505,finished,Shinobu Kaitani
137303,Hirayasumi,"Seinen, Slice of Life",8.52,142,988,currently_publishing,Keigo Shinzou
21498,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,"Drama, Fantasy, Horror, Mystery, Psychological, Shounen, Supernatural, Suspense",8.51,141,1217,finished," Ryukishi07,  Akitaka"
44307,Kakukaku Shikajika,"Award Winning, Josei, Memoir, Otaku Culture, Slice of Life, Visual Arts",8.5,143,663,finished,Akiko Higashimura
30,Ouran Koukou Host Club,"Comedy, Crossdressing, Drama, Reverse Harem, Romance, School, Shoujo",8.5,144,100,finished,Bisco Hatori
214,Kidou Senshi Gundam: The Origin,"Action, Award Winning, Drama, Mecha, Military, Sci-Fi, Shounen, Space",8.5,145,1172,finished,"Yoshikazu Yasuhiko, Yoshiyuki Tomino"
79085,Given,"Boys Love, Drama, Music, School",8.49,150,255,finished,Natsuki Kizu
